Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label,URL_Entropy,Special_Char_Count,Suspicious_TLD,Hyphen_Count,Underscore_Count,Digit_Count,Repeated_Char_Count,Bigram_Count,Trigram_Count,Recent_Registration,Phishing_Keyword_Flag
graphicriver.net,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,3.452819531,1,0,0,0,0,0,15,14,1,0
ecnavi.jp,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,3.169925001,1,0,0,0,0,0,8,7,1,0
hubpages.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,3.584962501,1,0,0,0,0,0,11,10,1,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,3.006238929,1,0,0,0,0,2,14,13,1,0
icicibank.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,2.968918564,1,0,0,0,0,0,12,11,1,0
nypost.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0,3.121928095,1,0,0,0,0,0,9,8,1,0
kienthuc.net.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0,3.189898095,2,0,0,0,0,0,14,13,1,0
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0,3.324862958,1,0,0,0,0,0,13,12,1,0
tobogo.net,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,2.646439345,1,0,0,0,0,0,9,8,1,0
akhbarelyom.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0,3.506890596,1,0,0,0,0,0,14,13,1,0
tunein.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,1,0,3.121928095,1,0,0,0,0,0,9,8,1,0
tune.pk,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0,2.807354922,1,0,0,0,0,0,6,5,1,0
sfglobe.com,0,0,1,4,0,0,0,0,0,0,0,1,1,0,1,0,0,3.277613437,1,0,0,0,0,0,10,9,1,0
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,2.235926351,1,0,0,0,0,0,6,5,1,0
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0,3.324862958,1,0,0,0,0,0,13,12,1,0
couchtuner.eu.com,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0,3.175123135,2,0,0,0,0,0,16,15,1,0
olx.in,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,1,0,2.584962501,1,0,0,0,0,0,5,4,1,0
venturebeat.com,0,0,1,4,0,0,1,0,0,1,0,1,0,0,1,0,0,3.456564762,1,0,0,0,0,0,14,13,1,0
allegro.pl,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,1,0,2.846439345,1,0,0,0,0,1,9,8,1,0
allegro.pl,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,1,0,2.846439345,1,0,0,0,0,1,9,8,1,0
tinnhanh360.net,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,3.106890596,1,0,0,0,3,1,14,13,1,0
metro.co.uk,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0,3.095795255,2,0,0,0,0,0,10,9,1,0
atwiki.jp,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0,2.947702779,1,0,0,0,0,0,8,7,1,0
emgn.com,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,0,2.75,1,0,0,0,0,0,7,6,1,0
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3.219528282,1,0,0,0,0,0,16,15,1,0
motthegioi.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0,3.238901257,1,0,0,0,0,1,12,11,1,0
spankbang.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,3.39274741,1,0,0,0,0,0,12,11,1,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,3.084962501,1,0,0,0,0,0,11,10,1,0
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,2.235926351,1,0,0,0,0,0,6,5,1,0
thenextweb.com,0,0,1,7,0,0,0,0,0,1,0,0,0,0,1,0,0,3.324862958,1,0,0,0,0,0,13,12,1,0
emgn.com,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,0,2.75,1,0,0,0,0,0,7,6,1,0
depositphotos.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,3.263933429,1,0,0,0,0,0,16,15,1,0
serverfault.com,0,0,1,3,0,0,1,0,0,1,0,1,0,0,1,0,0,3.640223929,1,0,0,0,0,0,14,13,1,0
kakaku.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0,2.646439345,1,0,0,0,0,0,9,8,1,0
indianexpress.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0,3.616874606,1,0,0,0,0,1,16,15,1,0
nypost.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0,3.121928095,1,0,0,0,0,0,9,8,1,0
distractify.com,0,0,1,10,0,0,0,0,0,1,0,1,0,0,1,0,0,3.506890596,1,0,0,0,0,0,14,13,1,0
sourceforge.net,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0,3.323231429,1,0,0,0,0,0,14,13,1,0
babal.net,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0,2.725480557,1,0,0,0,0,0,8,7,1,0
serverfault.com,0,0,1,3,0,0,1,0,0,1,0,1,0,0,1,0,0,3.640223929,1,0,0,0,0,0,14,13,1,0
cookpad.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2.845350937,1,0,0,0,0,1,10,9,1,0
plarium.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0,3.277613437,1,0,0,0,0,0,10,9,1,0
pikabu.ru,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,0,2.947702779,1,0,0,0,0,0,8,7,1,0
grantland.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0,3.39274741,1,0,0,0,0,0,12,11,1,0
allegro.pl,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0,2.846439345,1,0,0,0,0,1,9,8,1,0
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3.219528282,1,0,0,0,0,0,16,15,1,0
allegro.pl,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0,2.846439345,1,0,0,0,0,1,9,8,1,0
europa.eu,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,0,2.725480557,1,0,0,0,0,0,8,7,1,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,3.006238929,1,0,0,0,0,2,14,13,1,0
persianblog.ir,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,1,0,3.521640636,1,0,0,0,0,0,13,12,1,0
distractify.com,0,0,1,10,0,0,0,0,0,1,0,1,0,0,1,0,0,3.506890596,1,0,0,0,0,0,14,13,1,0
kenh14.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0,2.947702779,1,0,0,0,2,0,8,7,1,0
twitter.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,3.027169118,1,0,0,0,0,1,10,9,1,0
nesn.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,2.75,1,0,0,0,0,0,7,6,1,0
fishki.net,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,3.121928095,1,0,0,0,0,0,9,8,1,0
syosetu.com,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0,3.095795255,1,0,0,0,0,0,10,9,1,0
akhbarelyom.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0,3.506890596,1,0,0,0,0,0,14,13,1,0
allegro.pl,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,2.846439345,1,0,0,0,0,1,9,8,1,0
getpocket.com,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,3.085055103,1,0,0,0,0,0,12,11,1,0
mylust.com,0,0,1,3,0,0,1,0,0,1,1,1,0,0,1,0,0,3.121928095,1,0,0,0,0,0,9,8,1,0
censor.net.ua,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,3.238901257,2,0,0,0,0,0,12,11,1,0
pornsharing.com,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.506890596,1,0,0,0,0,0,14,13,1,0
genius.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,3.321928095,1,0,0,0,0,0,9,8,1,0
sourceforge.net,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0,3.323231429,1,0,0,0,0,0,14,13,1,0
codecanyon.net,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1,0,3.039148672,1,0,0,0,0,0,13,12,1,0
qz.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,2.584962501,1,0,0,0,0,0,5,4,1,0
kenh14.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0,2.947702779,1,0,0,0,2,0,8,7,1,0
uproxx.com,0,0,1,4,0,0,1,0,0,1,0,1,0,0,1,0,0,2.921928095,1,0,0,0,0,1,9,8,1,0
babal.net,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0,2.725480557,1,0,0,0,0,0,8,7,1,0
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,2.235926351,1,0,0,0,0,0,6,5,1,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,3.084962501,1,0,0,0,0,0,11,10,1,0
paytm.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,1,0,2.947702779,1,0,0,0,0,0,8,7,1,0
motthegioi.vn,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0,3.238901257,1,0,0,0,0,1,12,11,1,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,3.084962501,1,0,0,0,0,0,11,10,1,0
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0,3.324862958,1,0,0,0,0,0,13,12,1,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,3.006238929,1,0,0,0,0,2,14,13,1,0
genius.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,3.321928095,1,0,0,0,0,0,9,8,1,0
thenextweb.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0,3.324862958,1,0,0,0,0,0,13,12,1,0
kienthuc.net.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0,3.189898095,2,0,0,0,0,0,14,13,1,0
sourceforge.net,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0,3.323231429,1,0,0,0,0,0,14,13,1,0
nypost.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0,3.121928095,1,0,0,0,0,0,9,8,1,0
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0,2.584962501,1,0,0,0,0,0,5,4,1,0
indianexpress.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0,3.616874606,1,0,0,0,0,1,16,15,1,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,3.006238929,1,0,0,0,0,2,14,13,1,0
correios.com.br,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,0,3.006238929,2,0,0,0,0,1,14,13,1,0
web.de,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,0,2.251629167,1,0,0,0,0,0,5,4,1,0
noticias.uol.com.br,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,0,3.536886724,3,0,0,0,0,0,18,17,1,0
bdnews24.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0,3.584962501,1,0,0,0,2,0,11,10,1,0
kenh14.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0,2.947702779,1,0,0,0,2,0,8,7,1,0
codecanyon.net,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1,0,3.039148672,1,0,0,0,0,0,13,12,1,0
tunein.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,3.121928095,1,0,0,0,0,0,9,8,1,0
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3.219528282,1,0,0,0,0,0,16,15,1,0
kickass.to,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,2.921928095,1,0,0,0,0,1,9,8,1,0
weathernews.jp,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0,3.324862958,1,0,0,0,0,0,13,12,1,0
atwiki.jp,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0,2.947702779,1,0,0,0,0,0,8,7,1,0
plarium.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0,3.277613437,1,0,0,0,0,0,10,9,1,0
chaturbate.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,3.378783493,1,0,0,0,0,0,13,12,1,0
babal.net,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0,2.725480557,1,0,0,0,0,0,8,7,1,0
sberbank.ru,0,0,1,9,0,0,0,0,0,1,0,0,0,0,1,1,0,3.095795255,1,0,0,0,0,0,10,9,1,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,3.084962501,1,0,0,0,0,0,11,10,1,0
